127.0.0.1 - - [14/May/2021:15:36:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:57 +0900] "GET /nicdcp_frontend/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:57 +0900] "GET /nicdcp_frontend/login.jsp HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:57 +0900] "GET /nicdcp_frontend/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:57 +0900] "GET /nicdcp_frontend/css/nicdcp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:57 +0900] "GET /nicdcp_frontend/image/NIC-DCP.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:57 +0900] "GET /nicdcp_frontend/image/userPWD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:57 +0900] "GET /nicdcp_frontend/image/userID.png HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:57 +0900] "GET /nicdcp_frontend/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [14/May/2021:15:36:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:04 +0900] "POST /nicdcp_frontend/login.do HTTP/1.1" 500 52
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:04 +0900] "GET /nicdcp_frontend/dashboard.jsp HTTP/1.1" 200 3995
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:04 +0900] "GET /nicdcp_frontend/image/safe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:04 +0900] "GET /nicdcp_frontend/image/refresh.png HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:04 +0900] "GET /nicdcp_frontend/image/more.png HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:42 +0900] "GET /nicdcp_frontend/logout.do HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:43 +0900] "GET /nicdcp_frontend/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:43 +0900] "GET /nicdcp_frontend/login.jsp HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [14/May/2021:15:37:47 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:20 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:21 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:21 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:21 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:22 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:23 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:23 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:23 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:23 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:24 +0900] "GET /nicdcp_frontend/css/bootstrap.css.map HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:26 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:27 +0900] "GET /nicdcp_frontend/css/bootstrap.css HTTP/1.1" 200 141388
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:27 +0900] "GET /nicdcp_frontend/css/nicdcp.css HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:27 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:27 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:27 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:27 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [14/May/2021:15:38:28 +0900] "GET /nicdcp_frontend/lostpwd.jsp HTTP/1.1" 200 719
